category,question,answer,original_question
vie_etudiante,association étudiants !,Les étudiants de l'IFOAD peuvent créer et animer des associations pour favoriser les échanges et l'entraide.,association des étudiants
vie_etudiante,je veux savoir association étudiants,Les étudiants de l'IFOAD peuvent créer et animer des associations pour favoriser les échanges et l'entraide.,association des étudiants
vie_etudiante,savoir association étudiants,Les étudiants de l'IFOAD peuvent créer et animer des associations pour favoriser les échanges et l'entraide.,association des étudiants
vie_etudiante,association étudiants,Les étudiants de l'IFOAD peuvent créer et animer des associations pour favoriser les échanges et l'entraide.,association des étudiants
vie_etudiante,association étudiants?,Les étudiants de l'IFOAD peuvent créer et animer des associations pour favoriser les échanges et l'entraide.,association des étudiants
vie_etudiante,j'aimerais connaître association étudiants,Les étudiants de l'IFOAD peuvent créer et animer des associations pour favoriser les échanges et l'entraide.,association des étudiants
vie_etudiante,j'aimerais connaître événements étudiants,"Webinaires, hackathons, journées portes ouvertes virtuelles et rencontres professionnelles régulières.",événements étudiants
vie_etudiante,événements étudiants,"Webinaires, hackathons, journées portes ouvertes virtuelles et rencontres professionnelles régulières.",événements étudiants
vie_etudiante,je veux savoir événements étudiants,"Webinaires, hackathons, journées portes ouvertes virtuelles et rencontres professionnelles régulières.",événements étudiants
vie_etudiante,savoir événements étudiants,"Webinaires, hackathons, journées portes ouvertes virtuelles et rencontres professionnelles régulières.",événements étudiants
vie_etudiante,événements étudiants?,"Webinaires, hackathons, journées portes ouvertes virtuelles et rencontres professionnelles régulières.",événements étudiants
vie_etudiante,événements étudiants !,"Webinaires, hackathons, journées portes ouvertes virtuelles et rencontres professionnelles régulières.",événements étudiants
vie_etudiante,je veux savoir réseau anciens,Un réseau actif d'anciens étudiants pour le mentorat et les opportunités professionnelles.,réseau des anciens
vie_etudiante,réseau anciens !,Un réseau actif d'anciens étudiants pour le mentorat et les opportunités professionnelles.,réseau des anciens
vie_etudiante,savoir réseau anciens,Un réseau actif d'anciens étudiants pour le mentorat et les opportunités professionnelles.,réseau des anciens
vie_etudiante,réseau anciens,Un réseau actif d'anciens étudiants pour le mentorat et les opportunités professionnelles.,réseau des anciens
vie_etudiante,réseau anciens?,Un réseau actif d'anciens étudiants pour le mentorat et les opportunités professionnelles.,réseau des anciens
vie_etudiante,j'aimerais connaître réseau anciens,Un réseau actif d'anciens étudiants pour le mentorat et les opportunités professionnelles.,réseau des anciens
vie_etudiante,soutien psychologique?,Service d'écoute et de soutien psychologique disponible pour les étudiants en difficulté.,soutien psychologique
vie_etudiante,soutien psychologique !,Service d'écoute et de soutien psychologique disponible pour les étudiants en difficulté.,soutien psychologique
vie_etudiante,savoir soutien psychologique,Service d'écoute et de soutien psychologique disponible pour les étudiants en difficulté.,soutien psychologique
vie_etudiante,soutien psychologique,Service d'écoute et de soutien psychologique disponible pour les étudiants en difficulté.,soutien psychologique
vie_etudiante,j'aimerais connaître soutien psychologique,Service d'écoute et de soutien psychologique disponible pour les étudiants en difficulté.,soutien psychologique
vie_etudiante,je veux savoir soutien psychologique,Service d'écoute et de soutien psychologique disponible pour les étudiants en difficulté.,soutien psychologique
vie_etudiante,sport loisirs?,"Bien qu'en ligne, nous encourageons les initiatives sportives et culturelles entre étudiants.",sport et loisirs
vie_etudiante,je veux savoir sport loisirs,"Bien qu'en ligne, nous encourageons les initiatives sportives et culturelles entre étudiants.",sport et loisirs
vie_etudiante,j'aimerais connaître sport loisirs,"Bien qu'en ligne, nous encourageons les initiatives sportives et culturelles entre étudiants.",sport et loisirs
vie_etudiante,sport loisirs,"Bien qu'en ligne, nous encourageons les initiatives sportives et culturelles entre étudiants.",sport et loisirs
vie_etudiante,savoir sport loisirs,"Bien qu'en ligne, nous encourageons les initiatives sportives et culturelles entre étudiants.",sport et loisirs
vie_etudiante,sport loisirs !,"Bien qu'en ligne, nous encourageons les initiatives sportives et culturelles entre étudiants.",sport et loisirs
FAQ_generale,diplômes sont reconnus état !,"Oui, tous nos diplômes (Licence et Master) sont des diplômes nationaux reconnus par l'État burkinabè.",est-ce que les diplômes sont reconnus par l'état
FAQ_generale,savoir diplômes sont reconnus état,"Oui, tous nos diplômes (Licence et Master) sont des diplômes nationaux reconnus par l'État burkinabè.",est-ce que les diplômes sont reconnus par l'état
FAQ_generale,je veux savoir diplômes sont reconnus état,"Oui, tous nos diplômes (Licence et Master) sont des diplômes nationaux reconnus par l'État burkinabè.",est-ce que les diplômes sont reconnus par l'état
FAQ_generale,diplômes sont reconnus état,"Oui, tous nos diplômes (Licence et Master) sont des diplômes nationaux reconnus par l'État burkinabè.",est-ce que les diplômes sont reconnus par l'état
FAQ_generale,j'aimerais connaître diplômes sont reconnus état,"Oui, tous nos diplômes (Licence et Master) sont des diplômes nationaux reconnus par l'État burkinabè.",est-ce que les diplômes sont reconnus par l'état
FAQ_generale,diplômes sont reconnus état?,"Oui, tous nos diplômes (Licence et Master) sont des diplômes nationaux reconnus par l'État burkinabè.",est-ce que les diplômes sont reconnus par l'état
FAQ_generale,je veux savoir peut travailler même temps suivre cours,Absolument ! La flexibilité de nos formations permet de concilier études et activité professionnelle.,peut-on travailler en même temps que suivre les cours
FAQ_generale,savoir peut travailler même temps suivre cours,Absolument ! La flexibilité de nos formations permet de concilier études et activité professionnelle.,peut-on travailler en même temps que suivre les cours
FAQ_generale,peut travailler même temps suivre cours,Absolument ! La flexibilité de nos formations permet de concilier études et activité professionnelle.,peut-on travailler en même temps que suivre les cours
FAQ_generale,j'aimerais connaître peut travailler même temps suivre cours,Absolument ! La flexibilité de nos formations permet de concilier études et activité professionnelle.,peut-on travailler en même temps que suivre les cours
FAQ_generale,peut travailler même temps suivre cours?,Absolument ! La flexibilité de nos formations permet de concilier études et activité professionnelle.,peut-on travailler en même temps que suivre les cours
FAQ_generale,peut travailler même temps suivre cours !,Absolument ! La flexibilité de nos formations permet de concilier études et activité professionnelle.,peut-on travailler en même temps que suivre les cours
FAQ_generale,savoir faut être fort informatique suivre formations,"Non, nos formations sont accessibles à tous. Nous proposons des modules d'initiation pour les débutants.",faut-il être fort en informatique pour suivre les formations
FAQ_generale,faut être fort informatique suivre formations?,"Non, nos formations sont accessibles à tous. Nous proposons des modules d'initiation pour les débutants.",faut-il être fort en informatique pour suivre les formations
FAQ_generale,faut être fort informatique suivre formations,"Non, nos formations sont accessibles à tous. Nous proposons des modules d'initiation pour les débutants.",faut-il être fort en informatique pour suivre les formations
FAQ_generale,j'aimerais connaître faut être fort informatique suivre formations,"Non, nos formations sont accessibles à tous. Nous proposons des modules d'initiation pour les débutants.",faut-il être fort en informatique pour suivre les formations
FAQ_generale,je veux savoir faut être fort informatique suivre formations,"Non, nos formations sont accessibles à tous. Nous proposons des modules d'initiation pour les débutants.",faut-il être fort en informatique pour suivre les formations
